created_at,entry_id,field1,field2,field3
2023-04-17 01:55:02 UTC,4201,22.17000,77.13000,0.61132
2023-04-17 02:00:04 UTC,4202,22.12000,77.47000,0.60040
2023-04-17 02:05:05 UTC,4203,22.14000,76.06000,0.63875
2023-04-17 02:10:07 UTC,4204,22.14000,75.97000,0.64115
2023-04-17 02:15:09 UTC,4205,22.14000,76.31000,0.63208
2023-04-17 02:20:10 UTC,4206,22.14000,77.15000,0.60967
2023-04-17 02:25:12 UTC,4207,22.17000,78.35000,0.57871
2023-04-17 02:30:14 UTC,4208,22.14000,77.73000,0.59419
2023-04-17 02:35:15 UTC,4209,22.15000,77.44000,0.60230
2023-04-17 02:40:17 UTC,4210,22.17000,78.40000,0.57737
2023-04-17 02:45:19 UTC,4211,22.15000,77.58000,0.59856
2023-04-17 02:50:20 UTC,4212,22.15000,78.18000,0.58254
2023-04-17 02:55:22 UTC,4213,22.15000,77.59000,0.59829
2023-04-17 03:00:24 UTC,4214,22.14000,76.44000,0.62861
2023-04-17 03:05:25 UTC,4215,22.14000,78.75000,0.56698
2023-04-17 03:10:27 UTC,4216,22.14000,77.82000,0.59179
2023-04-17 03:15:29 UTC,4217,22.14000,76.57000,0.62514
2023-04-17 03:20:30 UTC,4218,22.14000,77.32000,0.60513
2023-04-17 03:25:32 UTC,4219,22.17000,77.41000,0.60383
2023-04-17 03:30:34 UTC,4220,22.17000,76.66000,0.62388
2023-04-17 03:35:35 UTC,4221,22.14000,75.74000,0.64729
2023-04-17 03:40:37 UTC,4222,22.18000,76.56000,0.62694
2023-04-17 03:45:39 UTC,4223,22.08000,76.03000,0.63722
2023-04-17 03:50:40 UTC,4224,22.04000,76.76000,0.61631
2023-04-17 03:55:42 UTC,4225,22.05000,76.31000,0.62863
2023-04-17 04:00:44 UTC,4226,22.02000,76.43000,0.62430
2023-04-17 04:05:45 UTC,4227,22.04000,76.49000,0.62347
2023-04-17 04:10:47 UTC,4228,22.07000,76.34000,0.62859
2023-04-17 04:15:49 UTC,4229,22.05000,74.87000,0.66684
2023-04-17 04:20:50 UTC,4230,22.07000,74.91000,0.66659
2023-04-17 04:25:52 UTC,4231,22.05000,74.41000,0.67904
2023-04-17 04:30:54 UTC,4232,22.00000,75.01000,0.66110
2023-04-17 04:35:55 UTC,4233,22.00000,74.26000,0.68094
2023-04-17 04:40:57 UTC,4234,21.93000,74.00000,0.68489
2023-04-17 04:45:59 UTC,4235,21.71000,73.77000,0.68173
2023-04-17 04:51:00 UTC,4236,21.80000,74.98000,0.65387
2023-04-17 04:56:02 UTC,4237,21.86000,73.43000,0.69693
2023-04-17 05:01:04 UTC,4238,21.74000,73.28000,0.69574
2023-04-17 05:06:05 UTC,4239,21.78000,73.77000,0.68466
2023-04-17 05:11:07 UTC,4240,21.74000,72.91000,0.70538
2023-04-17 05:16:09 UTC,4241,21.36000,71.91000,0.71461
2023-04-17 05:21:11 UTC,4242,21.49000,73.34000,0.68365
2023-04-17 05:26:12 UTC,4243,21.59000,72.49000,0.70978
2023-04-17 05:31:14 UTC,4244,21.66000,72.78000,0.70531
2023-04-17 05:36:16 UTC,4245,21.57000,72.68000,0.70401
2023-04-17 05:41:17 UTC,4246,21.60000,72.61000,0.70711
2023-04-17 05:46:19 UTC,4247,21.71000,72.24000,0.72150
2023-04-17 05:51:21 UTC,4248,21.70000,72.42000,0.71638
2023-04-17 05:56:22 UTC,4249,21.81000,72.56000,0.71755
2023-04-17 06:01:24 UTC,4250,21.78000,72.00000,0.73086
2023-04-17 06:06:26 UTC,4251,21.77000,72.48000,0.71789
2023-04-17 06:11:27 UTC,4252,21.80000,71.54000,0.74377
2023-04-17 06:16:29 UTC,4253,21.76000,71.73000,0.73700
2023-04-17 06:21:31 UTC,4254,21.74000,72.02000,0.72855
2023-04-17 06:26:32 UTC,4255,21.69000,71.73000,0.73386
2023-04-17 06:31:34 UTC,4256,21.47000,72.01000,0.71688
2023-04-17 06:36:36 UTC,4257,21.57000,71.63000,0.73107
2023-04-17 06:41:38 UTC,4258,21.57000,72.60000,0.70607
2023-04-17 06:46:39 UTC,4259,21.59000,72.27000,0.71545
2023-04-17 06:51:41 UTC,4260,21.54000,72.72000,0.70169
2023-04-17 06:56:43 UTC,4261,21.56000,73.10000,0.69277
2023-04-17 07:01:44 UTC,4262,21.57000,72.75000,0.70221
2023-04-17 07:06:46 UTC,4263,21.50000,72.67000,0.70126
2023-04-17 07:11:48 UTC,4264,21.56000,73.06000,0.69380
2023-04-17 07:16:49 UTC,4265,21.51000,72.44000,0.70760
2023-04-17 07:21:51 UTC,4266,21.60000,73.54000,0.68310
2023-04-17 07:26:53 UTC,4267,21.69000,72.45000,0.71517
2023-04-17 07:31:54 UTC,4268,21.69000,72.91000,0.70323
2023-04-17 07:36:56 UTC,4269,21.76000,73.32000,0.69555
2023-04-17 07:41:58 UTC,4270,21.80000,72.89000,0.70849
2023-04-17 07:46:59 UTC,4271,21.83000,72.58000,0.71791
2023-04-17 07:52:01 UTC,4272,21.86000,73.44000,0.69666
2023-04-17 07:57:03 UTC,4273,21.87000,71.88000,0.73803
2023-04-17 08:02:04 UTC,4274,21.88000,73.34000,0.70014
2023-04-17 08:07:06 UTC,4275,21.88000,71.75000,0.74190
2023-04-17 08:12:08 UTC,4276,21.91000,71.60000,0.74720
2023-04-17 08:17:09 UTC,4277,21.94000,71.89000,0.74093
2023-04-17 08:22:11 UTC,4278,21.96000,71.69000,0.74711
2023-04-17 08:27:13 UTC,4279,21.97000,71.90000,0.74202
2023-04-17 08:32:14 UTC,4280,21.96000,72.81000,0.71755
2023-04-17 08:37:16 UTC,4281,22.01000,72.20000,0.73589
2023-04-17 08:42:18 UTC,4282,22.07000,72.53000,0.72982
2023-04-17 08:47:19 UTC,4283,22.12000,72.95000,0.72085
2023-04-17 08:52:21 UTC,4284,22.12000,72.90000,0.72218
2023-04-17 08:57:23 UTC,4285,22.15000,73.21000,0.71523
2023-04-17 09:02:24 UTC,4286,22.17000,72.94000,0.72332
2023-04-17 09:07:26 UTC,4287,22.17000,73.90000,0.69766
2023-04-17 09:12:28 UTC,4288,22.24000,73.13000,0.72131
2023-04-17 09:17:29 UTC,4289,22.21000,72.63000,0.73339
2023-04-17 09:22:31 UTC,4290,22.19000,73.42000,0.71135
2023-04-17 09:27:33 UTC,4291,22.19000,73.11000,0.71965
2023-04-17 09:32:34 UTC,4292,22.22000,73.97000,0.69791
2023-04-17 09:37:36 UTC,4293,22.19000,73.19000,0.71751
2023-04-17 09:42:38 UTC,4294,22.21000,73.69000,0.70498
2023-04-17 09:47:39 UTC,4295,22.22000,74.51000,0.68343
2023-04-17 09:52:41 UTC,4296,22.21000,73.68000,0.70525
2023-04-17 09:57:43 UTC,4297,22.22000,73.96000,0.69817
2023-04-17 10:02:44 UTC,4298,22.22000,73.33000,0.71507
2023-04-17 10:07:46 UTC,4299,22.25000,74.21000,0.69273
